Contact	Latencies
8000	21505.9692
16000	20743.5769
2500	7734.8182
10500	20593.1467
18500	23263.7236
5000	18023.5946
13000	20199.4457
7500	21841.3438
15500	20743.5769
2000	8285.2000
10000	21036.0411
18000	23263.7236
4500	18023.5946
12500	19895.7674
7000	21900.8525
15000	20743.5769
1500	7973.4444
9500	21617.9714
17500	23136.3607
4000	16430.7000
12000	19915.5570
6500	21919.2037
14500	20954.2843
1000	8969.3750
9000	22448.4030
17000	23321.5455
3500	9717.2308
11500	20153.5641
6000	22238.7200
14000	20752.6100
500	8969.3750
8500	21505.9692
16500	21788.0631
3000	9717.2308
11000	20283.5844
19000	28038.1575
5500	21657.9773
13500	20618.8144

