Contact	Latencies
8000	25619.3438
16000	24816.7578
2500	8277.2222
10500	23337.5867
18500	29890.2350
5000	21884.5294
13000	24347.5149
7500	26445.1017
15500	24650.9365
2000	8279.2500
10000	24496.2286
18000	29859.9382
4500	20748.7667
12500	23264.2826
7000	26586.3158
15000	24689.4098
1500	7877.5714
9500	25139.1029
17500	29566.0994
4000	17956.1333
12000	22760.0260
6500	25655.0600
14500	25284.7712
1000	9189.5000
9000	26128.9692
17000	26390.9080
3500	7932.6000
11500	23049.1711
6000	26321.1591
14000	25178.7105
500	9189.5000
8500	25619.3438
16500	26210.6714
3000	8277.2222
11000	23049.1711
19000	34085.6684
5500	25307.4750
13500	24906.6545

