Contact	Latencies
8000	21584.9385
16000	21576.5970
2500	7753.1818
10500	20088.3333
18500	24286.4703
5000	18020.0270
13000	21337.5463
7500	21921.5469
15500	21066.8915
2000	8305.4000
10000	20731.8000
18000	24104.0276
4500	18020.0270
12500	20978.7576
7000	22133.9500
15000	21223.9688
1500	7995.8889
9500	21702.6714
17500	24181.0282
4000	16440.8000
12000	19475.6420
6500	21941.2593
14500	21563.4132
1000	8994.6250
9000	22525.0149
17000	24181.0282
3500	9732.7692
11500	19475.6420
6000	22662.2449
14000	21479.0603
500	8994.6250
8500	21584.9385
16500	22179.2993
3000	9732.7692
11000	19840.0127
19000	26312.7846
5500	21654.9773
13500	21173.5398

