Contact	Latencies
8000	22487.5738
16000	23638.8504
2500	8656.2000
10500	20646.8904
18500	29745.6298
5000	18081.6364
13000	23754.1500
7500	23172.0169
15500	23968.7600
2000	8678.3333
10000	21641.7647
18000	29979.1017
4500	15999.4828
12500	22597.1413
7000	23498.9643
15000	23972.7438
1500	8376.7500
9500	22217.6212
17500	29734.2428
4000	11032.3750
12000	21123.0800
6500	22555.0000
14500	24669.4397
1000	9572.5714
9000	23097.8710
17000	26159.4573
3500	9297.5000
11500	21123.0800
6000	22314.9024
14000	24378.5044
500	9572.5714
8500	22487.5738
16500	25217.7447
3000	9703.5455
11000	21123.0800
19000	33926.4531
5500	19840.7500
13500	23131.0283

